DBN,RH School,BN,CEP URL,Total Enrollment,Num Female,Num Black,Num Hispanic
01M015,y,M015,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M015.pdf,174,85,48,95
01M019,n,M019,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M019.pdf,249,114,52,156
01M020,n,M020,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M020.pdf,481,239,66,239
01M034,n,M034,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M034.pdf,305,145,102,182
01M063,n,M063,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M063.pdf,230,104,45,150
01M064,n,M064,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M064.pdf,223,93,41,159
01M110,n,M110,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M110.pdf,372,168,37,168
01M134,n,M134,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M134.pdf,281,126,73,169
01M140,n,M140,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M140.pdf,385,188,54,305
01M142,n,M142,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M142.pdf,353,153,55,273
01M184,n,M184,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M184.pdf,678,337,27,89
01M188,n,M188,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M188.pdf,407,181,134,249
01M292,n,M292,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M292.pdf,197,91,53,112
01M315,n,M315,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M315.pdf,333,174,15,77
01M332,n,M332,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M332.pdf,209,90,41,131
01M361,n,M361,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M361.pdf,320,149,33,127
01M363,n,M363,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M363.pdf,306,145,27,115
01M364,n,M364,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M364.pdf,350,157,38,141
01M378,n,M378,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M378.pdf,250,103,59,141
01M448,n,M448,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M448.pdf,483,230,94,184
01M450,n,M450,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M450.pdf,680,323,113,366
01M458,n,M458,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M458.pdf,194,103,84,98
01M509,n,M509,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M509.pdf,127,77,47,65
01M515,n,M515,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M515.pdf,543,231,51,206
01M539,n,M539,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M539.pdf,1754,833,118,199
01M650,n,M650,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M650.pdf,187,89,90,90
01M696,n,M696,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M696.pdf,615,379,66,108
01M839,n,M839,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M839.pdf,362,193,47,147
02M001,n,M001,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M001.pdf,295,137,53,84
02M002,n,M002,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M002.pdf,483,220,39,71
02M003,n,M003,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M003.pdf,731,357,39,119
02M006,n,M006,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M006.pdf,671,343,16,41
02M011,n,M011,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M011.pdf,888,430,51,216
02M033,n,M033,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M033.pdf,632,315,116,182
02M040,n,M040,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M040.pdf,708,357,12,99
02M041,n,M041,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M041.pdf,694,355,10,63
02M042,n,M042,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M042.pdf,574,277,8,43
02M047,n,M047,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M047.pdf,196,140,54,126
02M051,n,M051,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M051.pdf,481,246,71,229
02M059,n,M059,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M059.pdf,598,306,8,63
02M077,n,M077,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M077.pdf,360,174,1,17
02M089,n,M089,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M089.pdf,456,218,7,54
02M104,n,M104,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M104.pdf,1116,540,84,196
02M111,n,M111,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M111.pdf,413,190,56,194
02M114,n,M114,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M114.pdf,451,259,13,53
02M116,n,M116,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M116.pdf,504,270,45,99
02M124,n,M124,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M124.pdf,675,336,0,14
02M126,n,M126,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M126.pdf,712,338,62,122
02M130,n,M130,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M130.pdf,858,405,7,48
02M131,n,M131,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M131.pdf,401,159,26,45
02M135,n,M135,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M135.pdf,265,141,76,159
02M139,n,M139,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M139.pdf,401,146,106,253
02M150,n,M150,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M150.pdf,189,90,1,18
02M151,n,M151,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M151.pdf,486,251,72,114
02M158,n,M158,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M158.pdf,796,379,16,64
02M167,n,M167,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M167.pdf,1379,623,94,226
02M177,n,M177,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M177.pdf,230,119,20,53
02M183,n,M183,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M183.pdf,554,269,15,47
02M198,n,M198,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M198.pdf,488,249,51,104
02M212,n,M212,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M212.pdf,363,189,25,85
02M217,n,M217,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M217.pdf,617,317,83,88
02M225,n,M225,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M225.pdf,324,156,49,99
02M234,n,M234,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M234.pdf,638,313,11,56
02M255,n,M255,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M255.pdf,394,230,8,38
02M260,n,M260,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M260.pdf,726,494,29,90
02M267,n,M267,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M267.pdf,414,204,4,43
02M276,n,M276,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M276.pdf,849,402,34,116
02M280,n,M280,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M280.pdf,416,222,150,187
02M281,n,M281,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M281.pdf,338,167,31,42
