Section 4: CEP Overview,"What is your schools mission statement?"
Section 4: CEP Overview,"Provide contextual information about your schools community and its unique/important characteristics, including a description of strategic collaborations/partnerships and/or special initiatives being implemented."
Section 4: CEP Overview,"Describe any special student populations and what their specific needs are."
Section 4: CEP Overview,"Identify the elements of the Framework for Great Schools in which your school made the most progress over the past year, and your key areas of focus for this school year."
Section 5A Framework for Great Schools Element Rigorous Instruction,"Briefly summarize your needs assessment by answering each question below using the most current summative and formative data trends relative to this Framework element. For example, data sources should include but are not limited to the Quality Review, NYSED School Report Card, NYC School Quality Guide, NYC School Survey, etc. Number responses accordingly. 1. What are the schools strengths relative to this Framework element? Indicate the data trends, source and year. 2. What is the priority need(s) that will be addressed in the goal and action plan for this Framework element? Indicate the data trends, source and year."
Section 5A Framework for Great Schools Element Rigorous Instruction,"Part 3a Action Plan"
Section 5A Framework for Great Schools Element Rigorous Instruction,"How will your school engage parents/families and support their understanding of Rigorous Instruction and New York State standards in order to support their children at home? Include the timeline and identify key personnel responsible for implementation and oversight."
Section 5A Framework for Great Schools Element Rigorous Instruction,"Indicate resources you will leverage to achieve this annual goal and implement this action plan, including human resources, instructional resources, schedule adjustments, etc."
Section 5A Framework for Great Schools Element Rigorous Instruction,"Indicate using an X the fund source(s) that will be utilized to support achievement of the specified goal."
Section 5A Framework for Great Schools Element Rigorous Instruction,"Schools are expected to engage in progress monitoring as part of an overall cycle of continuous improvement planning. Identify a mid-point benchmark(s) that will indicate school progress toward meeting the specified goal."
Section 5A Framework for Great Schools Element Rigorous Instruction,"Indicate the specific instrument of measure that is used to assess progress. (e.g. Performance Series, January Regents, etc.)"
Section 5B Framework for Great Schools Element Supportive Environment,"Briefly summarize your needs assessment by answering each question below using the most current summative and formative data trends relative to this Framework element. For example, data sources should include but are not limited to the Quality Review, NYSED School Report Card, NYC School Quality Guide, NYC School Survey, etc. Number responses accordingly. 1. What are the schools strengths relative to this Framework element? Indicate the data trends, source and year. 2. What is the priority need(s) that will be addressed in the goal and action plan for this Framework element? Indicate the data trends, source and year. 3. What policies, practices, and structures are in place to ensure you are supporting the whole child?"
Section 5B Framework for Great Schools Element Supportive Environment,"Indicate your schools 2018-19 goal for improving student outcomes and school performance that addresses this element of the Framework for Great SchoolsSupportive Environment. Your goal must be responsive to the identified priority need(s) indicated in Part 1, and be written as SMARTSpecific, Measurable, Achievable, Relevant, and Time-bound."
Section 5B Framework for Great Schools Element Supportive Environment,"Part 3a Action Plan"
Section 5B Framework for Great Schools Element Supportive Environment,"How will your school engage parents/families and support their understanding of Supportive Environment in order to support the whole child? Include the timeline and identify key personnel and stakeholders responsible for implementation and oversight."
Section 5B Framework for Great Schools Element Supportive Environment,"Indicate resources you will leverage to achieve this annual goal and implement this action plan, including human resources, instructional resources, schedule adjustments, etc."
Section 5B Framework for Great Schools Element Supportive Environment,"Indicate using an X the fund source(s) that will be utilized to support achievement of the specified goal."
Section 5B Framework for Great Schools Element Supportive Environment,"Schools are expected to engage in progress monitoring as part of an overall cycle of continuous improvement planning. Identify a mid-point benchmark(s) that will indicate school progress toward meeting the specified goal."
Section 5B Framework for Great Schools Element Supportive Environment,"Indicate the specific instrument of measure that is used to assess progress."
Section 5C Framework for Great Schools Element Collaborative Teachers,"Briefly summarize your needs assessment by answering each question below using the most current summative and formative data trends relative to this Framework element. For example, data sources should include but are not limited to the Quality Review, NYSED School Report Card, NYC School Quality Guide, NYC School Survey, etc. Number responses accordingly. 1. What are the schools strengths relative to this Framework element? Indicate the data trends, source and year. 2. What is the priority need(s) that will be addressed in the goal and action plan for this Framework element? Indicate the data trends, source and year."
Section 5C Framework for Great Schools Element Collaborative Teachers,"Indicate your schools 2018-19 goal for improving student outcomes and school performance that addresses this element of the Framework for Great SchoolsCollaborative Teachers. Your goal must be responsive to the identified priority need(s) indicated in Part 1, and be written as SMARTSpecific, Measurable, Achievable, Relevant, and Time-bound."
Section 5C Framework for Great Schools Element Collaborative Teachers,"Part 3a Action Plan"
Section 5C Framework for Great Schools Element Collaborative Teachers,"How will your school engage parents/families and support their understanding of Collaborative Teachers and strategies to promote teacher-parent/family collaborations in order to support their children at home? Include the timeline and identify key personnel responsible for implementation and oversight."
Section 5C Framework for Great Schools Element Collaborative Teachers,"Indicate resources you will leverage to achieve this annual goal and implement this action plan, including human resources, instructional resources, schedule adjustments, etc."
Section 5C Framework for Great Schools Element Collaborative Teachers,"Indicate using an X the fund source(s) that will be utilized to support achievement of the specified goal."
Section 5C Framework for Great Schools Element Collaborative Teachers,"Schools are expected to engage in progress monitoring as part of an overall cycle of continuous improvement planning. Identify a mid-point benchmark(s) that will indicate school progress toward meeting the specified goal."
Section 5C Framework for Great Schools Element Collaborative Teachers,"Indicate the specific instrument of measure that is used to assess progress."
Section 5D Framework for Great Schools Element Effective School Leadership,"Briefly summarize your needs assessment by answering each question below using the most current summative and formative data trends relative to this Framework element. For example, data sources should include but are not limited to the Quality Review, NYSED School Report Card, NYC School Quality Guide, NYC School Survey, etc. Number responses accordingly. 1. What are the schools strengths relative to this Framework element? Indicate the data trends, source and year. 2. What is the priority need(s) that will be addressed in the goal and action plan for this Framework element? Indicate the data trends, source and year."
Section 5D Framework for Great Schools Element Effective School Leadership,"Indicate your schools 2018-19 goal for improving student outcomes and school performance that addresses this element of the Framework for Great SchoolsEffective School Leadership. Your goal must be responsive to the identified priority need(s) indicated in Part 1, and be written as SMARTSpecific, Measurable, Achievable, Relevant, and Time-bound."
Section 5D Framework for Great Schools Element Effective School Leadership,"Part 3a Action Plan"
Section 5D Framework for Great Schools Element Effective School Leadership,"How will your school engage parents/families and support their understanding of Effective School Leadership and strategies to promote parent leadership and engagement in order to support their children at home? Include the timeline and identify key personnel responsible for implementation and oversight."
Section 5D Framework for Great Schools Element Effective School Leadership,"Indicate resources you will leverage to achieve this annual goal and implement this action plan, including human resources, instructional resources, schedule adjustments, etc."
Section 5D Framework for Great Schools Element Effective School Leadership,"Indicate using an X the fund source(s) that will be utilized to support achievement of the specified goal."
Section 5D Framework for Great Schools Element Effective School Leadership,"Schools are expected to engage in progress monitoring as part of an overall cycle of continuous improvement planning. Identify a mid-point benchmark(s) that will indicate school progress toward meeting the specified goal."
Section 5D Framework for Great Schools Element Effective School Leadership,"Part 5b. Indicate the specific instrument of measure that is used to assess progress."
Section 5E Framework for Great Schools Element Strong Family and Community Ties,"Briefly summarize your needs assessment by answering each question below using the most current summative and formative data trends relative to this Framework element. For example, data sources should include but are not limited to the Quality Review, NYSED School Report Card, NYC School Quality Guide, NYC School Survey, etc. Number responses accordingly. 1. What are the schools strengths relative to this Framework element? Indicate the data trends, source and year. 2. What is the priority need(s) that will be addressed in the goal and action plan for this Framework element? Indicate the data trends, source and year."
