bn|term|excerpt
K009|IDO|"tion with their School Leadership Team (SLT).

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
K009|REWARDS|"RA FREEMAN 

2012-13 CEP TEMPLATE 

06-14-2013
FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

DRAFT O"
K009|REWARDS|"3: +12.8
Grade 4:  + 9.1

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

5

Grad"
K009|REWARDS|"ngage in professional 
6

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

develop"
K009|REWARDS|" selected describe here:

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

7

 De"
K009|REWARDS|"ts under that 
umbrella.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

8

ANNU"
K009|REWARDS|"implementation.
We will:

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

9

    "
K009|REWARDS|" to support our students

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

10

* P"
K009|REWARDS|"act on student learning.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

11

ANN"
K009|REWARDS|" weakness and strengths.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

12

ELA"
K009|REWARDS|"r Grade 1 classrooms.   

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

13

Use"
K009|REWARDS|"ed for this school year.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

14

Str"
K009|REWARDS|"ormed of school events. 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

15

ANN"
K009|REWARDS|"D from the ASCD website.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

16

Usi"
K009|REWARDS|"rvice the Whole Child.  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

17

ACA"
K009|REWARDS|"cording to academic need

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

18

rei"
K009|REWARDS|"rvices

 During the day

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

19

HIG"
K009|REWARDS|"and effective teachers. 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

20

DIR"
K009|EngageNY|"ar 
with the ELA and Mathematics tasks bundles on EngageNY.  Provide instructional support for our staff so "
K009|Reading Recovery|"hmarks.  This information influenced our need for Reading Recovery and a strong 
RTI program in Grade 1.  
Instructi"
K009|Reading Recovery|"tion.

d)

                    *The creation of a Reading Recovery Program to service struggling readers will be imp"
K009|Reading Recovery|"ional walkthroughs
**Weekly cabinet meetings

Our Reading Recovery teacher will work individually with Grade 1 stude"
K009|Reading Recovery|"She will create various cycles for this work.
Our Reading Recovery teacher will provide professional development on "
K009|Reading Recovery|".

A grant will allow us to partially pay for our Reading Recovery teacher.  We will use Tax Levy dollars to also pa"
K009|Fundations|"
Reading materials, big books for Shared Reading, Fundations notebooks and letter tiles and Words Their Way ac"
K009|Fundations|"eading levels, etc.  We also use assessments from Fundations and teacher created 
assessments for ELL's.   The"
K009|Fountas and Pinnell|"reading levels and reading comprehension using the Fountal and Pinnell 
text leveling system, as this is a good indicator"
X439|Rosetta Stone|"er to enhance classroom content, programs such as Rosetta Stone and 
Classroom Inc. have been provided.    At BLC"
X439|Summit|"enior 
ELL Compliance and Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
K035|IDO|"tion with their School Leadership Team (SLT).

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
K035|REWARDS|"YN SANTIAGO

2012-13 CEP TEMPLATE 

07-10-2013
FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

SCHOOL "
K035|REWARDS|"s in the New York State 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

4

asse"
K035|REWARDS|" selected describe here:

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

5

Serv"
K035|REWARDS|"g programs, Head Start).

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

6

Use "
K035|REWARDS|" selected describe here:

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

7

Serv"
K035|REWARDS|"g programs, Head Start).

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

8

Use "
K035|REWARDS|"g programs, Head Start).

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

9

Use "
K035|REWARDS|"g programs, Head Start).

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

10

Use"
K035|REWARDS|"g programs, Head Start).

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

11

ACA"
K035|REWARDS|"t, Social 
Worker, etc.)

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

12

HIG"
K035|REWARDS|"f is highly qualified.  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

13

DIR"
K035|Acuity|" will analyze student work through the lens of the acuity and classroom assessments 
with accompanying rubri"
Q435|Pearson|"opment Priority/ Focus Funds-$17,000 from RBT and Pearson to provide 

2012-13 CEP TEMPLATE FOR PRIORITY AN"
Q435|Pearson|"rvention services.
Invite outside vendors such as Pearson Education, Leadership Matters, and Scholastic to "
Q435|Pearson|"nd leadership. 

Invite outside vendors  such as Pearson Education, Leadership Matters, and Scholastic to "
Q435|Pearson|"Development days.  Specifically, presentations by Pearson Education will be 
delivering SIOP training to En"
Q435|IDO|"nsultation with their School Leadership Team.

HOW DO SCEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL P"
Q435|Summit|"enior 
ELL Compliance and Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
X377|IDO|"tion with their School Leadership Team (SLT).

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
X377|REWARDS|"RAN STAPLE 

2012-13 CEP TEMPLATE 

06-11-2013
FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

SCHOOL "
X377|REWARDS|"y based 

organizations 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

5

14. "
X377|REWARDS|"III

 

Grants  X

Other

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

6

If o"
X377|REWARDS|"t For Excellence  

    

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

7

Use "
X377|REWARDS|"dership through service 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

8

    "
X377|REWARDS|"vironment Survey Report;

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

9

Budg"
X377|REWARDS|"ontract For Excellence  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

10

Use"
X377|REWARDS|"observe best practices; 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

11

18."
X377|REWARDS|"ional Development (U7L4)

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

12

4.
"
X377|REWARDS|"ontract For Excellence  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

13

Use"
X377|REWARDS|"remain an effective and 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

14

We "
X377|REWARDS|" selected describe here:

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

15

Ser"
X377|REWARDS|" Program (AIDP) (078735)

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

16

Use"
X377|REWARDS|"ing with their cohort.  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

17

Str"
X377|REWARDS|"nded by Title-1         

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

18

ACA"
X377|REWARDS|"l

During the school day

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

19

HIG"
X377|REWARDS|"uctional practices,     

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

20

DIR"
X377|Acuity|" We offer the following assessments:
         a)  Acuity
         b) PSAT 
        c)  York State Regents "
X377|Acuity|nistered the Gates MacGinitie Test as well as the Acuity and other standardized math exams that will provi
K753|IDO|"tion with their School Leadership Team (SLT).

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
K753|REWARDS|"GARY HECHT 

2012-13 CEP TEMPLATE 

08-22-2013
FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

DRAFT O"
K753|REWARDS|"ve the opportunity to 
5

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

partici"
K753|REWARDS|"/or securing employment.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

6

Use "
K753|REWARDS|"merly VESID) and AHRC.  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

7

Budg"
K753|REWARDS|"nt into a Career Center.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

8

Use "
K753|REWARDS|"tween school and family.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

9

Budg"
