dbn,number,question,answer
K009,0,What is your school’s mission statement?," The mission of the Public School 9- Teunis G. Bergen is to teach our students how to maximize their potential through a constructivist model of instruction. We believe in servicing the Whole Child through strong partnerships as we aim to create a community of lifelong learners who are highly motivated for success. We emphasize high standards, professional development and the individual needs of each student. We strive to involve our parents, community-based organizations and the community at large in the education of our children.   2."
X439,0,What is your school’s mission statement?," Our mission at Bronx High School for Law and Community Service is to support self-motivation, intellectual curiosity, and integrity. Graduates successfully achieve their goals in college, career, and beyond.   2."
K035,0,What is your school’s mission statement?," Our coherent set of beliefs on how students learn best and school mission statement is embodied within our C.H.A.N.G.E. acronym. Challenging and Meeting Our Students Needs On a Daily Basis, Having and Believing and Clear and High Expectations, Analyzing and Strategizing the Data to Inform Instruction, accepting No Excuses, Gaining Knowledge to Increase Student Outcomes and Our Own Professional Growth and Empowering Parents and Families to Work Collaboratively in Ensuring College and Career Readiness. During the 2018-2019 school year we will take a ""Deeper Dive into the Year of Change""   2."
X377,0,What is your school’s mission statement?," MISSION STATEMENT   At the Bronx Community High school, (BCHS) we believe in creating personalized learning plans that re-engage our students in an alternative opportunity, as we provide, social, emotional and academic supports to foster their growth towards graduation and beyond. It is vital that the school environment is structured, so that clear expectations for student behavior and performance are consistently articulated and reinforced by all staff. We give transparent feedback in order to re-establish our students’ confidence in schools as a place of success. We take pride in developing critical thinking skills in our students, inspiring them to feel a sense of urgency towards making a positive contribution to their society. At BCHS, students learn best when their prior knowledge is assessed and built upon their understanding, connecting their learning in an authentic and relevant way as we provide multiple opportunities for college and career readiness. VISION STATEMENT At the Bronx Community High School, students learn best when they attend school regularly and are provided with an education that is relevant to their personal lives. Daily attendance is monitored collaboratively through New York City Mission Society (NYCMS), our guidance counselor and our house teams. Our goal is to work with these students and their families to provide them with the necessary academic and social-emotional supports that will encourage and enable our students to develop their leadership potential. 2."
K753,0,What is your school’s mission statement?," The Brooklyn School for Career Development (BSCD) is a learning community steeped in collaboration, understanding and respect. Our common interests are embedded in improving learning, providing authentic instruction, and creating new opportunities for all of our students. BSCD provides instructional experiences that are tailored to students’ individual needs. Our driving philosophy is that all students can learn. Specialized learning environments facilitate seamless student transition into the world of work and continuing education to become active members of society. Through the implementation of academically rigorous programs, rich in Science, Technology, Engineering, Arts and Mathematics, students achieve personal, academic and vocational success. Programs are aligned with the Common   Core Learning Standards to equip our students across all sites with the necessary tools to become successful 21st century learners. Through a collaborative effort, and curricula created by highly-trained professionals, we empower students to apply their knowledge beyond the classroom. 2."
M450,0,What is your school’s mission statement?," We are a small 6-12th-grade college preparatory school dedicated to the belief that all students can, must and will learn and succeed academically. We set high standards for each of our students and help them meet these standards by providing personal attention, a strong sense of community, high-quality instruction and engaging and innovative learning experiences inside and outside of the classroom. Students, staff, families and community members see themselves as part of a team whose main goal is the success of every individual student in our diverse learning community. We have a school-wide commitment to promoting social justice and combating racism, sexism, homophobia, classism and any other form of discrimination. The goal of the school is to create a   community of highly skilled students, lifetime learners, critical thinkers and socially responsible citizens who, upon graduation, will be prepared to succeed in college and beyond and positively impact their communities. 2."
K021,0,What is your school’s mission statement?," The Crispus Attucks School in partnership with its children, families and community guarantees each child a high quality education that provides for the intellectual, physical, and social-emotional well-being in a safe and orderly environment that will promote life-long learning and responsible citizenship.   2."
X388,0,What is your school’s mission statement?," Section 4: CEP Overview As a member school of the Internationals Network for Public Schools (INPS), the school follows a pedagogical model to support the needs of English Language Learners (ELLs). The school is organized around five principles:    Heterogeneity and collaboration. Our students work in mixed-ability groups, and 9th and 10th grade classes are combined. Students have meaningful opportunities to read, write, speak and hear English across the curriculum.  Experiential learning. Instructional units, which are thematically and interdisciplinary aligned, are organized   around the completion of projects. Project-based learning gives students the opportunity to engage in authentic language tasks and take ownership of their learning. Language and content integration. To support the needs of our ELL population, all of our classes teach English as a New Language (ENL) and content. Units are both vertically aligned by grade level and planned on an interdisciplinary basis. Localized autonomy. PAIHS at Monroe teachers work in teams to plan, write, and reflect on curriculum that meets the needs of our student population. Teachers are empowered to make choices to design a curriculum that meets the needs of ELLs, promotes student engagement and academic rigor, and is relevant to the academic and backgrounds of students. In addition, teachers take significant leadership roles and “wear many hats.” The leaders of each instructional team and discipline (content area) team meet weekly with other school leaders as the Leadership Team, and this way all teachers have a voice in school policy decisions. This has promoted a culture of trust, collaboration, shared accountability, and continuous leadership. This year, we have also expanded teacher support so that we have three full-time coaching positions to help support teachers in the development and implementation of interdisciplinary curriculum.  One learning model for all. As we ask our students to work collaboratively in teams, teachers also work collaboratively in teams. As our students complete a portfolio, our teachers also complete a portfolio. 2."
Q384,0,What is your school’s mission statement?," Mission Section 4: CEP Overview The mission of P.S. 384 is to instill a lifelong love of learning by inspiring students to persevere and solve problems through collaboration, creativity, and citizenship. Vision   P.S. 384 provides experiences for students to be innovative and think critically for conceptual understanding, academic success, and social-emotional growth. By connecting their learning, students will use their creativity, ideas, and voice responsibly to create a better present and future. CorE Values: Collaboration – We Work Together Creativity – We Are Innovative Thinkers Citizenship – We Help Others Performance and Process Outcomes: Through our work together, our students will demonstrate: Critical Thinking Skills - Evidenced by the ability to identify problems, apply strategies, construct solutions, and support ideas with evidence Creativity in Problem Solving - Demonstrated by the ability to choose strategies and tools, the use of voice, and evaluate outcomes Connected Learning / Conceptual Understanding - Exhibited by the performance level of conceptual understanding on transdisciplinary projects and authentic learning opportunities 2."
R470,0,What is your school’s mission statement?," The mission of Concord High School is to develop the leaders of tomorrow by preparing all students to meet the high academic, technical, civic and workforce challenges of the twenty-first century. We believe that strong leadership throughout our united community of faculty members, students, parents and associates will move us toward our goals. We, therefore, hold in the highest regard the initiative, planning, effort and teamwork that result in academic rigor, in standard setting student performance and in continuous improvement.   2."
